Original_Index,date,common_name,scientific_name,group_size,latitude,longitude,ssh_anomaly
0,2024-12-28 11:33:07,Fin whale,Balaenoptera physalus,4,37.14515,-74.54101,0.10292354951318494
1,2025-02-22 14:46:46,Fin whale,Balaenoptera physalus,1,38.3193,-73.84825,0.02529766742331056
2,2025-02-22 14:50:02,Fin whale,Balaenoptera physalus,1,38.31815,-73.85002,0.025289552752085744
3,2025-02-22 14:50:41,Humpback whale,Megaptera novaeangliae,2,38.30965,-73.82714,0.02548364424028432
4,2025-02-26 11:45:26,Humpback whale,Megaptera novaeangliae,2,38.80395,-72.99513,0.03292994355328517
5,2024-12-28 11:34:14,Fin whale,Balaenoptera physalus,4,37.16355,-74.54586,0.10297565224564653
6,2025-02-26 11:46:17,Humpback whale,Megaptera novaeangliae,2,38.81244,-73.00711,0.03271615837464989
7,2025-02-22 14:50:47,Humpback whale,Megaptera novaeangliae,2,38.30913,-73.82352,0.025511270176705764
8,2025-02-23 14:30:34,Fin whale,Balaenoptera physalus,1,37.49114,-74.39087,0.03175806244671787
9,2025-02-23 14:31:11,Humpback whale,Megaptera novaeangliae,1,37.48327,-74.37031,0.03194132304946954
10,2025-02-23 14:35:27,Humpback whale,Megaptera novaeangliae,1,37.49054,-74.38346,0.03178595317583274
11,2025-02-24 09:22:09,Fin whale,Balaenoptera physalus,2,38.18413,-73.8886,0.026009083372870553
12,2025-02-24 09:23:01,Common minke whale,Balaenoptera acutorostrata,1,38.17186,-73.86031,0.026360058357317858
13,2025-02-26 11:48:18,Fin whale,Balaenoptera physalus,1,38.82722,-72.97477,0.03310413329306052
14,2025-02-26 11:53:01,Fin whale,Balaenoptera physalus,1,38.90338,-73.09153,0.031167823010948226
15,2025-02-18 15:03:20,Fin whale,Balaenoptera physalus,1,36.66619,-74.69067,0.03330058109624616
16,2025-02-18 15:06:10,Fin whale,Balaenoptera physalus,2,36.73062,-74.65946,0.03312656211261083
