,sst_median,sst_median,sst_median,sst_median,sst_median,sst_std,sst_std,latitude,latitude,longitude,longitude
,count,mean,std,min,max,mean,std,mean,std,mean,std
common_name,,,,,,,,,,,
Beaked whales,8,7.076,0.445,6.645,7.5,0.15,0.08,38.329,0.005,-73.519,0.006
Blue whale,12,8.256,0.713,7.385,9.18,0.146,0.065,37.076,0.01,-74.629,0.003
Common minke whale,54,8.019,0.611,6.915,9.08,0.151,0.107,37.888,0.458,-74.167,0.324
Fin whale,308,7.909,1.278,5.74,12.47,0.182,0.148,38.058,0.604,-73.863,0.551
Humpback whale,260,7.962,1.545,5.697,13.145,0.199,0.196,37.93,0.666,-73.983,0.637
North Atlantic right whale,6,7.86,0.094,7.767,7.98,0.224,0.156,38.393,0.0,-73.936,0.0
Sperm whale,44,7.533,0.803,6.78,9.955,0.176,0.212,37.73,0.314,-74.146,0.215
