Original_Index_x,latitude,longitude,date_time,date,common_name,scientific_name,group_size,chlor_a_mean,chlor_a_median,chlor_a_std,chlor_a_min,chlor_a_max,chlor_a_q25,chlor_a_q75,Original_Index_y,synechococcus_mean,synechococcus_median,synechococcus_std,synechococcus_min,synechococcus_max,synechococcus_q25,synechococcus_q75,prochlorococcus_mean,prochlorococcus_median,prochlorococcus_std,prochlorococcus_min,prochlorococcus_max,prochlorococcus_q25,prochlorococcus_q75,picoeukaryotes_mean,picoeukaryotes_median,picoeukaryotes_std,picoeukaryotes_min,picoeukaryotes_max,picoeukaryotes_q25,picoeukaryotes_q75
0,37.14515,-74.54101,2024/12/28 11:33:07,2024-12-28,Fin whale,Balaenoptera physalus,4,0.4062725007534027,0.4028280377388,0.0220755822956562,0.3816296458244324,0.4428595304489136,0.3846487700939178,0.4256443679332733,0,90118.33333333333,84907.0,21618.356649436195,50088.0,126255.0,80672.0,106414.0,168134.33333333334,177074.0,37860.401036791285,110754.0,217371.0,132851.0,195169.0,6855.222222222223,6609.0,1507.5299722672019,3979.0,9105.0,6431.0,8044.0
5,37.16355,-74.54586,2024/12/28 11:34:14,2024-12-28,Fin whale,Balaenoptera physalus,4,0.4217640459537506,0.4197571277618408,0.0277874078601598,0.3846487700939178,0.473281055688858,0.4028280377388,0.4428595304489136,1,70156.66666666667,69344.0,24675.449148225583,31733.0,106446.0,50088.0,84907.0,121171.55555555556,113817.0,45603.27853007235,57267.0,184737.0,74216.0,169716.0,6213.555555555556,6219.0,1458.287741086261,3979.0,9105.0,5130.0,6609.0
0,37.14515,-74.54101,2024/12/28 11:33:07,2024-12-28,Fin whale,Balaenoptera physalus,4,0.4229724705219269,0.4361994862556457,0.0337664112448692,0.3850211203098297,0.4654650092124939,0.3866165727376938,0.4504442512989044,2,90118.33333333333,84907.0,21618.356649436195,50088.0,126255.0,80672.0,106414.0,168134.33333333334,177074.0,37860.401036791285,110754.0,217371.0,132851.0,195169.0,6855.222222222223,6609.0,1507.5299722672019,3979.0,9105.0,6431.0,8044.0
5,37.16355,-74.54586,2024/12/28 11:34:14,2024-12-28,Fin whale,Balaenoptera physalus,4,0.5351293683052063,0.4361995160579681,0.2351117134094238,0.3857236802577972,1.0015250444412231,0.3875094652175903,0.4646889865398407,3,70156.66666666667,69344.0,24675.449148225583,31733.0,106446.0,50088.0,84907.0,121171.55555555556,113817.0,45603.27853007235,57267.0,184737.0,74216.0,169716.0,6213.555555555556,6219.0,1458.287741086261,3979.0,9105.0,5130.0,6609.0
0,37.14515,-74.54101,2024/12/28 11:33:07,2024-12-28,Fin whale,Balaenoptera physalus,4,0.53130704164505,0.5340186953544617,0.0191757604479789,0.489558070898056,0.5529804229736328,0.528933584690094,0.5461182594299316,4,90118.33333333333,84907.0,21618.356649436195,50088.0,126255.0,80672.0,106414.0,168134.33333333334,177074.0,37860.401036791285,110754.0,217371.0,132851.0,195169.0,6855.222222222223,6609.0,1507.5299722672019,3979.0,9105.0,6431.0,8044.0
5,37.16355,-74.54586,2024/12/28 11:34:14,2024-12-28,Fin whale,Balaenoptera physalus,4,0.525384247303009,0.533033549785614,0.020782146602869,0.4852482378482818,0.5471017360687256,0.5101038813591003,0.5439532995223999,5,70156.66666666667,69344.0,24675.449148225583,31733.0,106446.0,50088.0,84907.0,121171.55555555556,113817.0,45603.27853007235,57267.0,184737.0,74216.0,169716.0,6213.555555555556,6219.0,1458.287741086261,3979.0,9105.0,5130.0,6609.0
1,38.3193,-73.84825,2025/02/22 14:46:46,2025-02-22,Fin whale,Balaenoptera physalus,1,0.8512479662895203,0.8421615362167358,0.0298818070441484,0.812086284160614,0.8996248245239258,0.8260722160339355,0.8821668028831482,6,297263.55555555556,196457.0,122223.11664884849,183047.0,490667.0,192511.0,397528.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136577.77777777778,140940.0,23916.080098627168,92870.0,174931.0,118715.0,149987.0
2,38.31815,-73.85002,2025/02/22 14:50:02,2025-02-22,Fin whale,Balaenoptera physalus,1,0.8512479662895203,0.8421615362167358,0.0298818070441484,0.812086284160614,0.8996248245239258,0.8260722160339355,0.8821668028831482,7,297263.55555555556,196457.0,122223.11664884849,183047.0,490667.0,192511.0,397528.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136577.77777777778,140940.0,23916.080098627168,92870.0,174931.0,118715.0,149987.0
3,38.30965,-73.82714,2025/02/22 14:50:41,2025-02-22,Humpback whale,Megaptera novaeangliae,2,0.8281842470169067,0.8244487643241882,0.0312282592058181,0.7910071611404419,0.8996248245239258,0.8062549233436584,0.8288862109184265,8,269806.8888888889,195396.0,124123.04955651822,158018.0,490667.0,185784.0,391164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129091.77777777778,137378.0,26259.26901232646,93409.0,174931.0,109779.0,148095.0
7,38.30913,-73.82352,2025/02/22 14:50:47,2025-02-22,Humpback whale,Megaptera novaeangliae,2,0.8281842470169067,0.8244487643241882,0.0312282592058181,0.7910071611404419,0.8996248245239258,0.8062549233436584,0.8288862109184265,9,269806.8888888889,195396.0,124123.04955651822,158018.0,490667.0,185784.0,391164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129091.77777777778,137378.0,26259.26901232646,93409.0,174931.0,109779.0,148095.0
