Original_Index,latitude,longitude,date_time,date,common_name,scientific_name,group_size,sst_mean,sst_median,sst_std,sst_min,sst_max,sst_q25,sst_q75
0,37.14515,-74.54101,2024/12/28 11:33:07,2024-12-28,Fin whale,Balaenoptera physalus,4,,,,,,,
5,37.16355,-74.54586,2024/12/28 11:34:14,2024-12-28,Fin whale,Balaenoptera physalus,4,,,,,,,
0,37.14515,-74.54101,2024/12/28 11:33:07,2024-12-28,Fin whale,Balaenoptera physalus,4,,,,,,,
5,37.16355,-74.54586,2024/12/28 11:34:14,2024-12-28,Fin whale,Balaenoptera physalus,4,,,,,,,
0,37.14515,-74.54101,2024/12/28 11:33:07,2024-12-28,Fin whale,Balaenoptera physalus,4,,,,,,,
5,37.16355,-74.54586,2024/12/28 11:34:14,2024-12-28,Fin whale,Balaenoptera physalus,4,,,,,,,
0,37.14515,-74.54101,2024/12/28 11:33:07,2024-12-28,Fin whale,Balaenoptera physalus,4,,,,,,,
5,37.16355,-74.54586,2024/12/28 11:34:14,2024-12-28,Fin whale,Balaenoptera physalus,4,,,,,,,
0,37.14515,-74.54101,2024/12/28 11:33:07,2024-12-28,Fin whale,Balaenoptera physalus,4,,,,,,,
5,37.16355,-74.54586,2024/12/28 11:34:14,2024-12-28,Fin whale,Balaenoptera physalus,4,,,,,,,
0,37.14515,-74.54101,2024/12/28 11:33:07,2024-12-28,Fin whale,Balaenoptera physalus,4,,,,,,,
5,37.16355,-74.54586,2024/12/28 11:34:14,2024-12-28,Fin whale,Balaenoptera physalus,4,,,,,,,
0,37.14515,-74.54101,2024/12/28 11:33:07,2024-12-28,Fin whale,Balaenoptera physalus,4,11.946874618530273,11.932499885559082,0.2528206706047058,11.625,12.434999465942383,11.746249675750732,12.103749513626099
5,37.16355,-74.54586,2024/12/28 11:34:14,2024-12-28,Fin whale,Balaenoptera physalus,4,11.91333293914795,11.989999771118164,0.20767879486083984,11.625,12.114999771118164,11.714999914169312,12.09999942779541
0,37.14515,-74.54101,2024/12/28 11:33:07,2024-12-28,Fin whale,Balaenoptera physalus,4,12.005000114440918,11.94999885559082,0.23377320170402527,11.59000015258789,12.429999351501465,11.917499542236328,12.117499828338623
5,37.16355,-74.54586,2024/12/28 11:34:14,2024-12-28,Fin whale,Balaenoptera physalus,4,11.99000072479248,12.004999160766602,0.22323361039161682,11.59000015258789,12.229999542236328,11.892499923706055,12.19249963760376
1,38.3193,-73.84825,2025/02/22 14:46:46,2025-02-22,Fin whale,Balaenoptera physalus,1,,,,,,,
2,38.31815,-73.85002,2025/02/22 14:50:02,2025-02-22,Fin whale,Balaenoptera physalus,1,,,,,,,
3,38.30965,-73.82714,2025/02/22 14:50:41,2025-02-22,Humpback whale,Megaptera novaeangliae,2,,,,,,,
7,38.30913,-73.82352,2025/02/22 14:50:47,2025-02-22,Humpback whale,Megaptera novaeangliae,2,,,,,,,
17,38.19171,-73.72512,2025/02/22 15:00:43,2025-02-22,Fin whale,Balaenoptera physalus,1,,,,,,,
18,38.16393,-73.73656,2025/02/22 15:01:47,2025-02-22,Fin whale,Balaenoptera physalus,1,,,,,,,
21,38.23487,-73.82935,2025/02/22 15:07:17,2025-02-22,Fin whale,Balaenoptera physalus,1,,,,,,,
22,38.24622,-73.83601,2025/02/22 15:07:43,2025-02-22,Fin whale,Balaenoptera physalus,1,,,,,,,
23,38.25892,-73.83506,2025/02/22 15:08:07,2025-02-22,Humpback whale,Megaptera novaeangliae,2,,,,,,,
31,38.39448,-73.49339,2025/02/22 10:05:28,2025-02-22,Humpback whale,Megaptera novaeangliae,1,,,,,,,
32,38.38323,-73.50716,2025/02/22 10:06:12,2025-02-22,Humpback whale,Megaptera novaeangliae,1,,,,,,,
40,38.43284,-73.58463,2025/02/22 10:10:17,2025-02-22,Humpback whale,Megaptera novaeangliae,1,,,,,,,
41,38.43629,-73.57339,2025/02/22 10:15:58,2025-02-22,Humpback whale,Megaptera novaeangliae,1,,,,,,,
46,38.39316,-73.93637,2025/02/22 12:44:00,2025-02-22,North Atlantic right whale,Eubalaena glacialis,8,,,,,,,
119,38.3245,-73.52472,2025/02/22 11:27:40,2025-02-22,Beaked whales,Hyperoodontidae,5,,,,,,,
120,38.33333,-73.51281,2025/02/22 11:28:44,2025-02-22,Beaked whales,Hyperoodontidae,5,,,,,,,
1,38.3193,-73.84825,2025/02/22 14:46:46,2025-02-22,Fin whale,Balaenoptera physalus,1,,,,,,,
2,38.31815,-73.85002,2025/02/22 14:50:02,2025-02-22,Fin whale,Balaenoptera physalus,1,,,,,,,
3,38.30965,-73.82714,2025/02/22 14:50:41,2025-02-22,Humpback whale,Megaptera novaeangliae,2,,,,,,,
7,38.30913,-73.82352,2025/02/22 14:50:47,2025-02-22,Humpback whale,Megaptera novaeangliae,2,,,,,,,
17,38.19171,-73.72512,2025/02/22 15:00:43,2025-02-22,Fin whale,Balaenoptera physalus,1,,,,,,,
18,38.16393,-73.73656,2025/02/22 15:01:47,2025-02-22,Fin whale,Balaenoptera physalus,1,,,,,,,
21,38.23487,-73.82935,2025/02/22 15:07:17,2025-02-22,Fin whale,Balaenoptera physalus,1,,,,,,,
22,38.24622,-73.83601,2025/02/22 15:07:43,2025-02-22,Fin whale,Balaenoptera physalus,1,,,,,,,
23,38.25892,-73.83506,2025/02/22 15:08:07,2025-02-22,Humpback whale,Megaptera novaeangliae,2,,,,,,,
31,38.39448,-73.49339,2025/02/22 10:05:28,2025-02-22,Humpback whale,Megaptera novaeangliae,1,,,,,,,
32,38.38323,-73.50716,2025/02/22 10:06:12,2025-02-22,Humpback whale,Megaptera novaeangliae,1,,,,,,,
