Original_Index,date_time,date,common_name,scientific_name,group_size,latitude,longitude,ssha
0,2024/12/28 11:33:07,2024-12-28,Fin whale,Balaenoptera physalus,4,37.14515,-74.54101,0.1380626286368447
5,2024/12/28 11:34:14,2024-12-28,Fin whale,Balaenoptera physalus,4,37.16355,-74.54586,0.1380626286368447
50,2025/01/24 14:13:04,2025-01-24,Humpback whale,Megaptera novaeangliae,1,37.82607,-74.11353,0.16615638939819985
53,2025/01/25 09:28:37,2025-01-25,Fin whale,Balaenoptera physalus,1,36.83639,-74.64515,0.174818954223847
54,2025/01/25 09:29:29,2025-01-25,Fin whale,Balaenoptera physalus,1,36.81318,-74.64325,0.174818954223847
59,2025/01/24 14:59:06,2025-01-24,Humpback whale,Megaptera novaeangliae,2,37.6423,-74.21067,0.16615638939819985
60,2025/01/24 15:00:03,2025-01-24,Humpback whale,Megaptera novaeangliae,2,37.66146,-74.20249,0.16615638939819985
61,2025/01/24 15:02:01,2025-01-24,Humpback whale,Megaptera novaeangliae,2,37.65032,-74.23256,0.16615638939819985
62,2025/01/24 15:16:13,2025-01-24,Humpback whale,Megaptera novaeangliae,2,37.6282,-74.21781,0.16615638939819985
109,2025/01/25 12:06:03,2025-01-25,Humpback whale,Megaptera novaeangliae,2,37.00146,-74.65873,0.17139479047802741
112,2025/01/25 12:06:45,2025-01-25,Humpback whale,Megaptera novaeangliae,2,37.01329,-74.64159,0.17139479047802741
113,2025/01/25 12:07:47,2025-01-25,Fin whale,Balaenoptera physalus,2,37.00016,-74.63312,0.17139479047802741
114,2025/01/25 12:34:25,2025-01-25,Fin whale,Balaenoptera physalus,1,37.10707,-74.55015,0.17139479047802741
115,2025/01/25 12:35:08,2025-01-25,Humpback whale,Megaptera novaeangliae,2,37.12296,-74.53705,0.17139479047802741
116,2025/01/25 12:35:38,2025-01-25,Humpback whale,Megaptera novaeangliae,2,37.13241,-74.54776,0.17139479047802741
51,2025/01/27 11:10:48,2025-01-27,Sperm whale,Physeter macrocephalus,1,38.22844,-73.81536,0.1909739067552265
52,2025/01/27 11:13:43,2025-01-27,Sperm whale,Physeter macrocephalus,1,38.24422,-73.80962,0.1909739067552265
55,2025/01/27 09:23:52,2025-01-27,Fin whale,Balaenoptera physalus,1,38.12404,-73.76578,0.1909739067552265
56,2025/01/27 09:28:09,2025-01-27,Fin whale,Balaenoptera physalus,1,38.18463,-73.89057,0.1909739067552265
57,2025/01/27 09:30:20,2025-01-27,Fin whale,Balaenoptera physalus,1,38.15814,-73.86529,0.1909739067552265
